72,35,16,32,194,10,2,41,0,36,0,140,15,4,0,0,38,157,132,18,82,24,128,4,28,193,32,100,32,0,129,16
17,152,26,32,130,74,182,97,98,98,32,32,22,152,98,32,35,108,0,1,84,188,148,48,64,5,1,112,105,33,203,130
17,24,90,96,194,217,176,32,104,130,32,32,17,152,68,32,35,42,32,64,21,140,4,34,72,137,48,105,73,1,75,130
17,24,26,96,130,88,176,96,104,130,32,32,17,152,66,32,35,42,32,65,21,188,148,34,72,141,48,96,73,33,75,130
132,41,66,0,210,130,35,80,32,132,1,21,8,1,6,20,34,40,17,28,16,138,0,68,8,8,1,96,10,132,2,224
6,41,66,0,210,128,35,80,32,132,1,5,8,1,6,20,34,40,17,28,16,138,0,108,8,8,1,224,14,133,66,224
4,41,66,0,210,160,35,80,33,192,4,13,8,1,18,20,38,42,0,156,16,138,128,104,72,0,1,64,142,133,34,128
4,41,194,0,212,32,99,16,33,192,4,13,40,129,83,20,34,234,17,221,16,138,128,104,72,0,0,0,174,229,34,128
32,198,13,73,8,20,132,45,0,18,161,64,129,0,12,163,137,0,64,32,64,4,106,17,33,171,80,52,80,16,206,164
32,194,13,73,8,20,132,41,0,18,161,64,129,0,12,163,137,0,64,32,96,4,104,17,33,163,80,53,80,0,206,164
164,194,13,65,192,23,4,41,0,54,33,80,0,0,12,149,128,12,64,42,112,6,120,21,39,24,65,100,16,0,194,160
164,130,9,65,192,22,4,41,0,54,33,80,0,0,12,145,128,12,64,42,112,6,248,21,39,24,65,100,16,0,194,160
102,11,129,64,193,12,67,0,11,36,0,76,0,133,68,148,0,12,33,14,16,16,144,0,29,28,129,36,2,37,16,96
68,9,1,0,195,8,99,16,9,36,2,13,4,177,64,28,34,68,49,76,16,24,144,0,25,2,1,6,38,37,16,98
70,9,1,128,199,12,99,16,9,36,2,13,4,161,64,156,34,68,33,78,16,24,144,128,25,2,1,6,6,37,16,98
68,25,2,16,7,40,81,144,33,164,2,47,14,49,3,12,34,100,49,77,0,16,16,32,80,2,65,2,174,101,16,66
32,4,76,16,0,32,0,146,128,18,40,133,16,1,1,25,73,0,64,4,0,64,64,32,70,2,80,0,8,193,66,152
32,4,76,25,64,0,0,214,136,2,96,133,16,1,2,25,1,0,64,4,0,68,64,32,68,2,80,0,8,145,10,144
97,148,88,6,66,36,18,32,193,44,171,12,64,114,14,18,4,195,72,128,148,2,96,37,6,8,0,18,0,3,0,7
65,148,90,70,18,188,18,32,129,5,139,12,64,114,14,16,20,192,72,160,12,128,116,39,6,44,128,82,0,3,0,7
97,4,120,6,66,36,18,32,193,44,171,8,64,114,14,18,4,195,72,128,148,0,96,101,6,8,0,18,0,3,0,71
68,1,35,2,165,208,4,1,66,8,131,0,128,152,208,160,128,0,8,1,1,33,40,16,128,16,1,10,0,2,128,36
4,129,34,66,172,192,129,0,64,0,145,32,128,16,144,36,128,0,104,1,0,32,104,0,0,16,1,82,68,2,32,37
4,3,0,64,40,192,129,32,136,0,149,32,128,16,132,4,128,2,104,18,0,160,98,4,4,24,0,82,64,0,68,33
4,18,16,65,40,0,131,32,136,128,52,32,128,16,132,6,8,32,104,18,0,32,98,4,12,20,0,82,64,32,68,33
4,43,0,64,168,192,131,0,136,128,4,32,128,16,132,4,128,34,104,18,2,32,98,4,4,16,0,82,64,0,68,33
0,26,80,65,42,168,131,0,136,128,52,32,128,16,132,6,64,34,104,18,2,32,66,0,4,16,0,82,64,0,68,35
0,26,92,65,42,40,147,0,8,132,52,32,128,1,132,6,2,48,72,18,2,40,67,32,12,0,0,3,64,65,68,33
